Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;15482
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13979
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14139
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12766
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14870
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13426
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13975
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12619
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14954
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13503
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;15170
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13697
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;15211
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13734
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14961
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13508
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14507
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13098
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;15070
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13607
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;7
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;6
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;12
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;10
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;23
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;7
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;11
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;23
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;8
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;16
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;12
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;26
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;12
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;25
